Refactoring Type,Original,Updated,Location,Original Line,Updated Line,Description,Commit,Original Method Line,Extracted/Inlined Method Line,Extracted/Inlined Lines,Old Location,New Location,Old Method Line,New Method Line
Add Parameter,test_project_with_connected_account,test_project_with_connected_account,tests/test_bigquery.py/TestBigQuery,72.0,64.0,['The parameters [ mock_access_token ApiUrlMock ] are added to the method test_project_with_connected_account from the module tests/test_bigquery.py in class TestBigQuery'],11dc81f96a263027ff1dc4fd126bc922f1d76bac,,,,,,,
Add Parameter,test_project_with_connected_account_default_credentials,test_project_with_connected_account_default_credentials,tests/test_bigquery.py/TestBigQuery,98.0,99.0,['The parameters [ mock_access_token ApiUrlMock ] are added to the method test_project_with_connected_account_default_credentials from the module tests/test_bigquery.py in class TestBigQuery'],11dc81f96a263027ff1dc4fd126bc922f1d76bac,,,,,,,
Add Parameter,test_project_with_connected_account_unrelated_integrations,test_project_with_connected_account_unrelated_integrations,tests/test_bigquery.py/TestBigQuery,89.0,87.0,['The parameters [ mock_access_token ApiUrlMock ] are added to the method test_project_with_connected_account_unrelated_integrations from the module tests/test_bigquery.py in class TestBigQuery'],11dc81f96a263027ff1dc4fd126bc922f1d76bac,,,,,,,
Add Parameter,test_project_with_empty_integrations,test_project_with_empty_integrations,tests/test_bigquery.py/TestBigQuery,80.0,75.0,['The parameters [ mock_access_token ApiUrlMock ] are added to the method test_project_with_empty_integrations from the module tests/test_bigquery.py in class TestBigQuery'],11dc81f96a263027ff1dc4fd126bc922f1d76bac,,,,,,,
Add Parameter,test_project_with_env_var_project_default_credentials,test_project_with_env_var_project_default_credentials,tests/test_bigquery.py/TestBigQuery,106.0,110.0,['The parameters [ mock_access_token ApiUrlMock ] are added to the method test_project_with_env_var_project_default_credentials from the module tests/test_bigquery.py in class TestBigQuery'],11dc81f96a263027ff1dc4fd126bc922f1d76bac,,,,,,,
Add Parameter,test_simultaneous_clients,test_simultaneous_clients,tests/test_bigquery.py/TestBigQuery,115.0,122.0,['The parameters [ mock_access_token ApiUrlMock ] are added to the method test_simultaneous_clients from the module tests/test_bigquery.py in class TestBigQuery'],11dc81f96a263027ff1dc4fd126bc922f1d76bac,,,,,,,
Add Parameter,make_post_request,make_post_request,patches/kaggle_web_client.py/KaggleWebClient,41.0,37.0,['The parameters [ timeout ] are added to the method make_post_request from the module patches/kaggle_web_client.py in class KaggleWebClient'],2259a073cae511afcc8a30f1026d5f76ecf2846b,,,,,,,
Rename Method,test_addition,test_matrix_addition,tests/test_tensorflow_bigquery.py/TestTensorflowBigQuery,12.0,12.0,['The method test_addition from the module tests/test_tensorflow_bigquery.py in class TestTensorflowBigQuery is renamed to test_matrix_addition'],25beb81c430590024a04b95e388c2775808ee100,,,,,,,
Extract Method,get_bigquery_access_token,_get_access_token,patches/kaggle_secrets.py/UserSecretsClient,,, The method _get_access_token from the module patches/kaggle_secrets.py in class UserSecretsClient is extracted from method get_bigquery_access_token from the module patches/kaggle_secrets.py in class UserSecretsClient ,2fa38081f173022b10bb00f76e25e8439eb6ba4b,"(72,78)",92.0,"[84.0, 85.0, 86.0, 89.0, 90.0, 91.0]",,,,
Extract Method,set_tensorflow_credential,_write_credentials_file,patches/kaggle_secrets.py/UserSecretsClient,,, The method _write_credentials_file from the module patches/kaggle_secrets.py in class UserSecretsClient is extracted from method set_tensorflow_credential from the module patches/kaggle_secrets.py in class UserSecretsClient ,42394fae42a6ac596fb91c4c5b3c84fcbe1e30ff,"(83,106)",131.0,"[92.0, 94.0, 95.0, 96.0]",,,,
Extract Method,init,init_bigquery,patches/sitecustomize.py,,, The method init_bigquery from the module patches/sitecustomize.py is extracted from method init from the module patches/sitecustomize.py ,44f637a6fc9ab8d1e69b293e26425be0cdabc499,"(9,8)",17.0,"[12.0, 13.0, 14.0, 21.0, 22.0, 23.0, 25.0, 26.0, 27.0, 29.0, 30.0, 34.0, 35.0, 36.0, 37.0, 38.0, 39.0, 40.0, 41.0, 44.0, 45.0, 46.0, 47.0, 48.0, 49.0, 51.0, 56.0, 57.0]",,,,
Add Parameter,_test_client,_test_client,tests/test_user_secrets.py/TestUserSecrets,40.0,40.0,['The parameters [ success ] are added to the method _test_client from the module tests/test_user_secrets.py in class TestUserSecrets'],4cd0b761939c050d7ca49e80663185dff663daad,,,,,,,
Rename Method,test_simple,test_cpu,tests/test_lightgbm.py/TestLightgbm,10.0,11.0,['The method test_simple from the module tests/test_lightgbm.py in class TestLightgbm is renamed to test_cpu'],4cd57a8f27c2e6b47b50ad074ce951c4d71fda7b,,,,,,,
Rename Method,test_proxy_kaggle_project,test_proxy_using_library,tests/test_bigquery.py/TestBigQuery,45.0,46.0,['The method test_proxy_kaggle_project from the module tests/test_bigquery.py in class TestBigQuery is renamed to test_proxy_using_library'],50936e4b36256321b24a34a09c34864d6ce33a18,,,,,,,
Rename Method,monkeypatch_aiploatform_init,monkeypatch_aiplatform_init,patches/kaggle_gcp.py,194.0,194.0,['The method monkeypatch_aiploatform_init from the module patches/kaggle_gcp.py is renamed to monkeypatch_aiplatform_init'],5171b1d639251b41060cc93cb34f410af5a29845,,,,,,,
Rename Method,getBigQueryAccessToken,get_bigquery_access_token,patches/kaggle_secrets.py/UserSecretsClient,51.0,52.0,['The method getBigQueryAccessToken from the module patches/kaggle_secrets.py in class UserSecretsClient is renamed to get_bigquery_access_token'],5438d79b756de3f93382073b6b92dc135ab181ae,,,,,,,
Add Parameter,_test_client,_test_client,tests/test_datasets.py/TestDatasets,42.0,44.0,['The parameters [ iap_token ] are added to the method _test_client from the module tests/test_datasets.py in class TestDatasets'],584e25d2362bdaea3e4c55fd8c476285e03fd528,,,,,,,
Change/Rename Parameter,do_GET,do_GET,tests/test_bigquery.py/HTTPHandler,24.0,24.0,['The parameters [ s ] of the method do_GET from the module tests/test_bigquery.py in class HTTPHandler are changed/renamed to [self]'],5d5d7a8dcc08d7a85d4028ebdbf46c5226904001,,,,,,,
Change/Rename Parameter,do_HEAD,do_HEAD,tests/test_bigquery.py/HTTPHandler,21.0,21.0,['The parameters [ s ] of the method do_HEAD from the module tests/test_bigquery.py in class HTTPHandler are changed/renamed to [self]'],5d5d7a8dcc08d7a85d4028ebdbf46c5226904001,,,,,,,
Rename Method,test_deftault_credentials_gcs_enabled,test_default_credentials_gcs_enabled,tests/test_gcs.py/TestStorage,27.0,27.0,['The method test_deftault_credentials_gcs_enabled from the module tests/test_gcs.py in class TestStorage is renamed to test_default_credentials_gcs_enabled'],64aa8fc9801ed39ac29e44686023a6a7ff8ab6af,,,,,,,
Remove Parameter,test_project_with_connected_account_default_credentials,test_project_with_connected_account_default_credentials,tests/test_bigquery.py/TestBigQuery,99.0,91.0,['The parameters [ ApiUrlMock ] of the method test_project_with_connected_account_default_credentials from the module tests/test_bigquery.py in class TestBigQuery is/are removed'],662ec7e214d19b99e21a947036e5458d4caccf19,,,,,,,
Remove Parameter,test_project_with_connected_account_unrelated_integrations,test_project_with_connected_account_unrelated_integrations,tests/test_bigquery.py/TestBigQuery,87.0,81.0,['The parameters [ ApiUrlMock ] of the method test_project_with_connected_account_unrelated_integrations from the module tests/test_bigquery.py in class TestBigQuery is/are removed'],662ec7e214d19b99e21a947036e5458d4caccf19,,,,,,,
Remove Parameter,test_project_with_empty_integrations,test_project_with_empty_integrations,tests/test_bigquery.py/TestBigQuery,75.0,71.0,['The parameters [ ApiUrlMock ] of the method test_project_with_empty_integrations from the module tests/test_bigquery.py in class TestBigQuery is/are removed'],662ec7e214d19b99e21a947036e5458d4caccf19,,,,,,,
Remove Parameter,test_project_with_env_var_project_default_credentials,test_project_with_env_var_project_default_credentials,tests/test_bigquery.py/TestBigQuery,111.0,101.0,['The parameters [ ApiUrlMock ] of the method test_project_with_env_var_project_default_credentials from the module tests/test_bigquery.py in class TestBigQuery is/are removed'],662ec7e214d19b99e21a947036e5458d4caccf19,,,,,,,
Remove Parameter,test_simultaneous_clients,test_simultaneous_clients,tests/test_bigquery.py/TestBigQuery,123.0,111.0,['The parameters [ ApiUrlMock ] of the method test_simultaneous_clients from the module tests/test_bigquery.py in class TestBigQuery is/are removed'],662ec7e214d19b99e21a947036e5458d4caccf19,,,,,,,
Rename Method,test_nbconvert,test_nbconvert_to_notebook,tests/test_jupyter_nbconvert.py/TestJupyterNbconvert,6.0,6.0,['The method test_nbconvert from the module tests/test_jupyter_nbconvert.py in class TestJupyterNbconvert is renamed to test_nbconvert_to_notebook'],66a12acb6bb1e920b88f65331e5609136067fe02,,,,,,,
Add Parameter,_make_post_request,_make_post_request,patches/kaggle_secrets.py/UserSecretsClient,63.0,68.0,['The parameters [ endpoint ] are added to the method _make_post_request from the module patches/kaggle_secrets.py in class UserSecretsClient'],724844afb24ac9ab968f17187554f99449bb3325,,,,,,,
Rename Class,TestOpenCV,TestKornia,tests/test_kornia.py,,, class TestOpenCV was renamed to class TestKornia ,81bb5a546d053dbb273503e31171da964d8f2fac,,,,,,,
Rename Method,_make_get_request,_make_post_request,patches/kaggle_secrets.py/UserSecretsClient,42.0,40.0,['The method _make_get_request from the module patches/kaggle_secrets.py in class UserSecretsClient is renamed to _make_post_request'],9b137a0ec9288794fe3beed84a50c2129b493b90,,,,,,,
Rename Method,call_get_automl_access_token,call_get_cloudai_access_token,tests/test_user_secrets.py/TestUserSecrets,181.0,181.0,['The method call_get_automl_access_token from the module tests/test_user_secrets.py in class TestUserSecrets is renamed to call_get_cloudai_access_token'],9ba46ce466981a693dd17df85cf1b2f919d8f1b1,,,,,,,
Rename Method,test_bla,test_pooling,tests/test_flax.py/TestFlax,11.0,14.0,['The method test_bla from the module tests/test_flax.py in class TestFlax is renamed to test_pooling'],9e8db9defcb160e63bbad3d78e8ac05f8a9200bd,,,,,,,
Extract Method,init_bigquery,is_user_secrets_token_set,patches/kaggle_gcp.py,,, The method is_user_secrets_token_set from the module patches/kaggle_gcp.py is extracted from method init_bigquery from the module patches/kaggle_gcp.py ,b9bd8f03020d330b5be889e8e0759390ad357a57,"(125,156)",150.0,[130.0],,,,
Extract Method,init_bigquery,is_proxy_token_set,patches/kaggle_gcp.py,,, The method is_proxy_token_set from the module patches/kaggle_gcp.py is extracted from method init_bigquery from the module patches/kaggle_gcp.py ,b9bd8f03020d330b5be889e8e0759390ad357a57,"(125,156)",153.0,[129.0],,,,
Change/Rename Parameter,add_integration,add_integration,patches/kaggle_gcp.py/KernelIntegrations,26.0,30.0,['The parameters [ integration_name ] of the method add_integration from the module patches/kaggle_gcp.py in class KernelIntegrations are changed/renamed to [target]'],beefeb9877afbe03023b9729398d0bf80f61211a,,,,,,,
Rename Method,test_gpu,test_gpu_computation,tests/test_pytorch.py/TestPyTorch,19.0,19.0,['The method test_gpu from the module tests/test_pytorch.py in class TestPyTorch is renamed to test_gpu_computation'],c57c0896a88f45fce43ed9f8aee0bb8cacb66a7e,,,,,,,
Rename Method,monkeypatch_automl,patched_init,patches/kaggle_gcp.py,222.0,181.0,['The method monkeypatch_automl from the module patches/kaggle_gcp.py is renamed to patched_init'],c77ddebfd4430d79e805d363dc2e57f65c7bde7a,,,,,,,
Rename Method,test_JAX,test_grad,tests/test_jax.py/TestJAX,15.0,15.0,['The method test_JAX from the module tests/test_jax.py in class TestJAX is renamed to test_grad'],c79b569421898e1148b48fa731f3e9bc599885ca,,,,,,,
Move Method,init_bigquery,init_bigquery,,,, method init_bigquery from the module patches/sitecustomize.py was moved to module patches/kaggle_gcp.py ,db3252e332216a299512f0d3db99da768b6943a4,,,,patches/sitecustomize.py,patches/kaggle_gcp.py,18.0,115.0
Move Method,monkeypatch_bq,monkeypatch_bq,,,, method monkeypatch_bq from the module patches/sitecustomize.py was moved to module patches/kaggle_gcp.py ,db3252e332216a299512f0d3db99da768b6943a4,,,,patches/sitecustomize.py,patches/kaggle_gcp.py,31.0,130.0
Move Method,init_gcs,init_gcs,,,, method init_gcs from the module patches/sitecustomize.py was moved to module patches/kaggle_gcp.py ,db3252e332216a299512f0d3db99da768b6943a4,,,,patches/sitecustomize.py,patches/kaggle_gcp.py,67.0,167.0
Move Method,monkeypatch_gcs,monkeypatch_gcs,,,, method monkeypatch_gcs from the module patches/sitecustomize.py was moved to module patches/kaggle_gcp.py ,db3252e332216a299512f0d3db99da768b6943a4,,,,patches/sitecustomize.py,patches/kaggle_gcp.py,71.0,179.0
Rename Method,do_GET,do_POST,tests/test_user_secrets.py/UserSecretsHTTPHandler,29.0,29.0,['The method do_GET from the module tests/test_user_secrets.py in class UserSecretsHTTPHandler is renamed to do_POST'],ede9d48dbef8fec2ef2c78147562915b443f19bb,,,,,,,
Add Parameter,_test_client,_test_client,tests/test_user_secrets.py/TestUserSecrets,40.0,40.0,['The parameters [ expected_body ] are added to the method _test_client from the module tests/test_user_secrets.py in class TestUserSecrets'],ede9d48dbef8fec2ef2c78147562915b443f19bb,,,,,,,
Change Return Type,get_bigquery_access_token,get_bigquery_access_token,patches/kaggle_secrets.py/UserSecretsClient,59.0,62.0,['The return type of method get_bigquery_access_token from the module patches/kaggle_secrets.py in class UserSecretsClient is updated'],f24718f31f10f08f684c3255c3e2ff464db09f24,,,,,,,
Add Parameter,test_get_access_token_succeeds,test_get_access_token_succeeds,tests/test_user_secrets.py/TestUserSecrets,85.0,88.0,['The parameters [ mock_dt ] are added to the method test_get_access_token_succeeds from the module tests/test_user_secrets.py in class TestUserSecrets'],f24718f31f10f08f684c3255c3e2ff464db09f24,,,,,,,
Rename Class,DataProxyConnection,_DataProxyConnection,patches/kaggle.py,,, class DataProxyConnection was renamed to class _DataProxyConnection ,fba9b0553bca565127de00919175135f54f7e2ae,,,,,,,
Rename Class,DataProxyClient,PublicBigqueryClient,patches/kaggle.py,,, class DataProxyClient was renamed to class PublicBigqueryClient ,fba9b0553bca565127de00919175135f54f7e2ae,,,,,,,
